document_id,source,component_json,relation_json,component_record_count,component_claim_count,component_premise_count,component_non_argumentative_count,relation_record_count,relation_support_count,relation_attack_count,relation_none_count
Acupuncture and Dry Needling - Medical Clinical Policy Bulle,aetna,Acupuncture_and_Dry_Needling_-_Medical_Clinical_Policy_Bulle.json,Acupuncture_and_Dry_Needling_-_Medical_Clinical_Policy_Bulle.json,330,97,151,82,170,81,20,69
Alzheimer's Disease Tests - Medical Clinical Policy Bulletin,aetna,Alzheimer_Disease_Tests_Medical_Clinical_Policy_Bulletin.json,Alzheimer's_Disease_Tests_-_Medical_Clinical_Policy_Bulletin.json,146,10,99,37,297,171,42,84
Back Pain - Invasive Procedures - Medical Clinical Policy Bu,aetna,Back_Pain_Invasive_Procedures_Medical_Clinical_Policy.json,Back_Pain_-_Invasive_Procedures_-_Medical_Clinical_Policy_Bu.json,206,90,98,18,249,167,41,41
Cancer Vaccines - Medical Clinical Policy Bulletins _ Aetna.,aetna,Cancer_Vaccines_Medical_Clinical_Policy_Bulletins_Aetna.json,Cancer_Vaccines_-_Medical_Clinical_Policy_Bulletins___Aetna..json,198,10,185,3,95,71,17,7
Chronic Fatigue Syndrome - Medical Clinical Policy Bulletins,aetna,Chronic_Fatigue_Syndrome_-_Medical_Clinical_Policy_Bulletins.json,Chronic_Fatigue_Syndrome_-_Medical_Clinical_Policy_Bulletins.json,202,48,150,4,105,40,3,62
Deep Brain Stimulation - Medical Clinical Policy Bulletins _,aetna,Deep_Brain_Stimulation_-_Medical_Clinical_Policy_Bulletins.json,Deep_Brain_Stimulation_-_Medical_Clinical_Policy_Bulletins.json,40,24,14,2,38,35,3,0
Epilepsy Surgery - Medical Clinical Policy Bulletins _ Aetna,aetna,Epilepsy_Surgery_-_Medical_Clinical_Policy_Bulletins___Aetna.json,Epilepsy_Surgery_-_Medical_Clinical_Policy_Bulletins___Aetna.json,106,26,79,1,129,110,15,4
Gender Affirming Surgery - Medical Clinical Policy Bulletins,aetna,Gender_Affirming_Surgery_-_Medical_Clinical_Policy_Bulletins.json,Gender_Affirming_Surgery_-_Medical_Clinical_Policy_Bulletins.json,102,41,60,1,125,108,10,7
HIV Drug Susceptibility and Resistance Tests - Medical Clini,aetna,HIV_Drug_Susceptibility_and_Resistance_Tests_-_Medical_Clini.json,HIV_Drug_Susceptibility_and_Resistance_Tests_-_Medical_Clini.json,26,8,18,0,54,15,2,37
Hematopoietic Cell Transplantation for Autoimmune Diseases a,aetna,Hematopoietic_Cell_Transplantation_for_Autoimmune_Diseases_a.json,Hematopoietic_Cell_Transplantation_for_Autoimmune_Diseases_a.json,41,5,36,0,48,19,8,21
Infertility - Medical Clinical Policy Bulletins _ Aetna.html,aetna,Infertility_-_Medical_Clinical_Policy_Bulletins___Aetna.html.json,Infertility_-_Medical_Clinical_Policy_Bulletins___Aetna.html.json,42,26,16,0,48,30,4,14
Kidney Transplantation - Medical Clinical Policy Bulletins _,aetna,Kidney_Transplantation_-_Medical_Clinical_Policy_Bulletins.json,Kidney_Transplantation_-_Medical_Clinical_Policy_Bulletins.json,93,36,57,0,137,48,15,74
Liver Transplantation - Medical Clinical Policy Bulletins _ -1,aetna,Liver_Transplantation_-_Medical_Clinical_Policy_Bulletins___-1.json,Liver_Transplantation_-_Medical_Clinical_Policy_Bulletins___-1.json,55,15,40,0,120,36,10,74
Lung Cancer Screening - Medical Clinical Policy Bulletins _ ,aetna,Lung_Cancer_Screening_-_Medical_Clinical_Policy_Bulletins.json,Lung_Cancer_Screening_-_Medical_Clinical_Policy_Bulletins.json,27,5,22,0,57,45,11,1
Magnetic Resonance Imaging (MRI) and Computed Tomography (CT,aetna,Magnetic_Resonance_Imaging_(MRI)_and_Computed_Tomography_(CT.json,Magnetic_Resonance_Imaging_(MRI)_and_Computed_Tomography_(CT.json,43,9,34,0,102,18,37,47
Nutritional Support - Medical Clinical Policy Bulletins _ Ae,aetna,Nutritional_Support_-_Medical_Clinical_Policy_Bulletins___Ae.json,Nutritional_Support_-_Medical_Clinical_Policy_Bulletins___Ae.json,61,49,12,0,36,12,4,20
Obstructive Sleep Apnea in Adults - Medical Clinical Policy ,aetna,Obstructive_Sleep_Apnea_in_Adults_-_Medical_Clinical_Policy.json,Obstructive_Sleep_Apnea_in_Adults_-_Medical_Clinical_Policy.json,134,55,79,0,237,58,37,142
Positive Pressure Ventilation - Medical Clinical Policy Bull,aetna,Positive_Pressure_Ventilation_-_Medical_Clinical_Policy_Bull.json,Positive_Pressure_Ventilation_-_Medical_Clinical_Policy_Bull.json,51,27,23,1,69,25,8,36
Prostate Cancer Screening - Medical Clinical Policy Bulletin,aetna,Prostate_Cancer_Screening_-_Medical_Clinical_Policy_Bulletin.json,Prostate_Cancer_Screening_-_Medical_Clinical_Policy_Bulletin.json,63,31,32,0,96,62,28,6
Quantitative EEG (Brain Mapping) - Medical Clinical Policy B,aetna,Quantitative_EEG_(Brain_Mapping)_-_Medical_Clinical_Policy_B.json,Quantitative_EEG_(Brain_Mapping)_-_Medical_Clinical_Policy_B.json,64,22,42,0,126,62,52,12
Rhinometry and Rhinomanometry - Medical Clinical Policy Bull,aetna,Rhinometry_and_Rhinomanometry_-_Medical_Clinical_Policy_Bull.json,Rhinometry_and_Rhinomanometry_-_Medical_Clinical_Policy_Bull.json,70,10,60,0,180,144,6,30
Smell and Taste Disorders_ Diagnosis - Medical Clinical Poli,aetna,Smell_and_Taste_Disorders__Diagnosis_-_Medical_Clinical_Poli.json,Smell_and_Taste_Disorders__Diagnosis_-_Medical_Clinical_Poli.json,50,15,27,8,76,50,3,23
Thalamotomy - Medical Clinical Policy Bulletins _ Aetna.html,aetna,Thalamotomy_-_Medical_Clinical_Policy_Bulletins___Aetna.html.json,Thalamotomy_-_Medical_Clinical_Policy_Bulletins___Aetna.html.json,319,77,168,74,60,33,0,27
